#Derived from "CCLE_sample_info_file_2012-10-18.txt"
#sampleId	subjectId	cellLineOrigin
1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1	ECACC
143B_BONE	143B	ATCC
22RV1_PROSTATE	22Rv1	ATCC
2313287_STOMACH	23132/87	DSMZ
253JBV_URINARY_TRACT	253J-BV	KCLB
253J_URINARY_TRACT	253J	KCLB
42MGBA_CENTRAL_NERVOUS_SYSTEM	42-MG-BA	DSMZ
5637_URINARY_TRACT	5637	ATCC
59M_OVARY	59M	ECACC
639V_URINARY_TRACT	639-V	DSMZ
647V_URINARY_TRACT	647-V	DSMZ
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697	DSMZ
769P_KIDNEY	769-P	ATCC
786O_KIDNEY	786-O	ATCC
8305C_THYROID	8305C	DSMZ
8505C_THYROID	8505C	HSRRB
8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA	DSMZ
A101D_SKIN	A101D	ATCC
A1207_CENTRAL_NERVOUS_SYSTEM	A1207	Academic Lab / Achilles
A172_CENTRAL_NERVOUS_SYSTEM	A172	ATCC
A204_SOFT_TISSUE	A-204	ATCC
A2058_SKIN	A2058	ATCC
A253_SALIVARY_GLAND	A-253	ATCC
A2780_OVARY	A2780	ECACC
A375_SKIN	A-375	ATCC
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3/KAW	HSRRB
A498_KIDNEY	A-498	ATCC
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4/Fuk	HSRRB
A549_LUNG	A549	ATCC
A673_BONE	A-673	ATCC
A704_KIDNEY	A-704	ATCC
ABC1_LUNG	ABC-1	HSRRB
ACCMESO1_PLEURA	ACC-MESO-1	RIKEN
ACCS_URINARY_TRACT	ACCS	
ACHN_KIDNEY	ACHN	ATCC
AGS_STOMACH	AGS	ATCC
ALEXANDERCELLS_LIVER	Alexander cells	HSRRB
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALL-SIL	DSMZ
AM38_CENTRAL_NERVOUS_SYSTEM	AM-38	HSRRB
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML-193	ATCC
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO-1	DSMZ
AN3CA_ENDOMETRIUM	AN3 CA	ATCC
ASPC1_PANCREAS	AsPC-1	ATCC
AU565_BREAST	AU565	ATCC
AZ521_STOMACH	AZ-521	HSRRB
BC3C_URINARY_TRACT	BC-3C	DSMZ
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP-1	ATCC
BCPAP_THYROID	B-CPAP	DSMZ
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	ATCC
BECKER_CENTRAL_NERVOUS_SYSTEM	Becker	HSRRB
BEN_LUNG	BEN	DSMZ
BFTC905_URINARY_TRACT	BFTC-905	DSMZ
BFTC909_KIDNEY	BFTC-909	DSMZ
BHT101_THYROID	BHT-101	DSMZ
BHY_UPPER_AERODIGESTIVE_TRACT	BHY	DSMZ
BICR16_UPPER_AERODIGESTIVE_TRACT	BICR 16	ECACC
BICR18_UPPER_AERODIGESTIVE_TRACT	BICR 18	ECACC
BICR22_UPPER_AERODIGESTIVE_TRACT	BICR 22	ECACC
BICR31_UPPER_AERODIGESTIVE_TRACT	BICR 31	ECACC
BICR56_UPPER_AERODIGESTIVE_TRACT	BICR 56	ECACC
BICR6_UPPER_AERODIGESTIVE_TRACT	BICR 6	ECACC
BJHTERT_SKIN	BJ hTERT	Academic Lab / Achilles
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-41	DSMZ
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-70	DSMZ
BT20_BREAST	BT-20	ATCC
BT474_BREAST	BT-474	ATCC
BT483_BREAST	BT-483	ATCC
BT549_BREAST	BT-549	ATCC
