#Derived from "CCLE_sample_info_file_2012-10-18.txt"
#subjectId	cellLineSourceName	gender	cellLinePrimarySite	cellLineHistology
1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1	M	central_nervous_system	glioma
143B_BONE	143B	F	bone	osteosarcoma
22RV1_PROSTATE	22Rv1	M	prostate	carcinoma
2313287_STOMACH	23132/87	M	stomach	carcinoma
253JBV_URINARY_TRACT	253J-BV	U	urinary_tract	carcinoma
253J_URINARY_TRACT	253J		urinary_tract	carcinoma
42MGBA_CENTRAL_NERVOUS_SYSTEM	42-MG-BA	M	central_nervous_system	glioma
5637_URINARY_TRACT	5637	M	urinary_tract	carcinoma
59M_OVARY	59M	F	ovary	carcinoma
639V_URINARY_TRACT	639-V	M	urinary_tract	carcinoma
647V_URINARY_TRACT	647-V	M	urinary_tract	carcinoma
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
769P_KIDNEY	769-P	F	kidney	carcinoma
786O_KIDNEY	786-O	M	kidney	carcinoma
8305C_THYROID	8305C	F	thyroid	carcinoma
8505C_THYROID	8505C	F	thyroid	carcinoma
8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA	F	central_nervous_system	glioma
A101D_SKIN	A101D	M	skin	malignant_melanoma
A1207_CENTRAL_NERVOUS_SYSTEM	A1207		central_nervous_system	glioma
A172_CENTRAL_NERVOUS_SYSTEM	A172	M	central_nervous_system	glioma
A204_SOFT_TISSUE	A-204	F	soft_tissue	rhabdoid_tumour
A2058_SKIN	A2058	M	skin	malignant_melanoma
A253_SALIVARY_GLAND	A-253	M	salivary_gland	carcinoma
A2780_OVARY	A2780	F	ovary	carcinoma
A375_SKIN	A-375	F	skin	malignant_melanoma
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3/KAW	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
A498_KIDNEY	A-498	F	kidney	carcinoma
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4/Fuk	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
A549_LUNG	A549	M	lung	carcinoma
A673_BONE	A-673	F	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
A704_KIDNEY	A-704	M	kidney	carcinoma
ABC1_LUNG	ABC-1	M	lung	carcinoma
ACCMESO1_PLEURA	ACC-MESO-1		pleura	mesothelioma
ACCS_URINARY_TRACT	ACCS		urinary_tract	carcinoma
ACHN_KIDNEY	ACHN	M	kidney	carcinoma
AGS_STOMACH	AGS	F	stomach	carcinoma
ALEXANDERCELLS_LIVER	Alexander cells	M	liver	carcinoma
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALL-SIL	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
AM38_CENTRAL_NERVOUS_SYSTEM	AM-38	M	central_nervous_system	glioma
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML-193	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO-1	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
AN3CA_ENDOMETRIUM	AN3 CA	F	endometrium	carcinoma
ASPC1_PANCREAS	AsPC-1	F	pancreas	carcinoma
AU565_BREAST	AU565	F	breast	carcinoma
AZ521_STOMACH	AZ-521		stomach	carcinoma
BC3C_URINARY_TRACT	BC-3C	F	urinary_tract	carcinoma
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP-1	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
BCPAP_THYROID	B-CPAP	F	thyroid	carcinoma
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
BECKER_CENTRAL_NERVOUS_SYSTEM	Becker	M	central_nervous_system	glioma
BEN_LUNG	BEN	M	lung	carcinoma
BFTC905_URINARY_TRACT	BFTC-905	F	urinary_tract	carcinoma
BFTC909_KIDNEY	BFTC-909	M	kidney	carcinoma
BHT101_THYROID	BHT-101	F	thyroid	carcinoma
BHY_UPPER_AERODIGESTIVE_TRACT	BHY	M	upper_aerodigestive_tract	carcinoma
BICR16_UPPER_AERODIGESTIVE_TRACT	BICR 16	M	upper_aerodigestive_tract	carcinoma
BICR18_UPPER_AERODIGESTIVE_TRACT	BICR 18	M	upper_aerodigestive_tract	carcinoma
BICR22_UPPER_AERODIGESTIVE_TRACT	BICR 22	M	upper_aerodigestive_tract	carcinoma
BICR31_UPPER_AERODIGESTIVE_TRACT	BICR 31	M	upper_aerodigestive_tract	carcinoma
BICR56_UPPER_AERODIGESTIVE_TRACT	BICR 56	F	upper_aerodigestive_tract	carcinoma
BICR6_UPPER_AERODIGESTIVE_TRACT	BICR 6	M	upper_aerodigestive_tract	carcinoma
BJHTERT_SKIN	BJ hTERT		skin	other
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-41	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-70	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
BT20_BREAST	BT-20	F	breast	carcinoma
BT474_BREAST	BT-474	F	breast	carcinoma
BT483_BREAST	BT-483	F	breast	carcinoma
BT549_BREAST	BT-549	F	breast	carcinoma
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BV-173	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
BXPC3_PANCREAS	BxPC-3	F	pancreas	carcinoma
C2BBE1_LARGE_INTESTINE	C2BBe1	M	large_intestine	carcinoma
C32_SKIN	C32	M	skin	malignant_melanoma
C3A_LIVER	C3A	M	liver	carcinoma
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CA46	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
CADOES1_BONE	CADO-ES1	F	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
CAKI1_KIDNEY	Caki-1	M	kidney	carcinoma
CAKI2_KIDNEY	Caki-2	M	kidney	carcinoma
CAL120_BREAST	CAL-120	F	breast	carcinoma
CAL12T_LUNG	CAL-12T	M	lung	carcinoma
CAL148_BREAST	CAL-148	F	breast	carcinoma
CAL27_UPPER_AERODIGESTIVE_TRACT	CAL 27	M	upper_aerodigestive_tract	carcinoma
CAL29_URINARY_TRACT	CAL-29	F	urinary_tract	carcinoma
CAL33_UPPER_AERODIGESTIVE_TRACT	CAL-33	M	upper_aerodigestive_tract	carcinoma
CAL51_BREAST	CAL-51	F	breast	carcinoma
CAL54_KIDNEY	CAL-54	M	kidney	carcinoma
CAL62_THYROID	CAL-62	F	thyroid	carcinoma
CAL78_BONE	CAL-78	M	bone	chondrosarcoma
CAL851_BREAST	CAL-85-1	F	breast	carcinoma
CALU1_LUNG	Calu-1	M	lung	carcinoma
CALU3_LUNG	Calu-3	M	lung	carcinoma
CALU6_LUNG	Calu-6	F	lung	carcinoma
CAMA1_BREAST	CAMA-1	F	breast	carcinoma
CAOV3_OVARY	Caov-3	F	ovary	carcinoma
CAOV4_OVARY	Caov-4	F	ovary	carcinoma
CAPAN1_PANCREAS	Capan-1	M	pancreas	carcinoma
CAPAN2_PANCREAS	Capan-2	M	pancreas	carcinoma
CAS1_CENTRAL_NERVOUS_SYSTEM	CAS-1	M	central_nervous_system	glioma
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCF-STTG1	F	central_nervous_system	glioma
CCK81_LARGE_INTESTINE	CCK-81		large_intestine	carcinoma
CFPAC1_PANCREAS	CFPAC-1	M	pancreas	carcinoma
CGTHW1_THYROID	CGTH-W-1	F	thyroid	carcinoma
