#GeneID	tax_id	Symbol	Synonyms	chromosome	type_of_gene	description
1	9606	A1BG	A1B|ABG|GAB|HYST2477	19	glycoprotein	alpha-1-B
2	9606	A2M	A2MD|CPAMD5|FWP007|S863-7	12	protein-coding	alpha-2-macroglobulin
3	9606	A2MP1	A2MP	12	pseudogene	alpha-2-macroglobulin
9	9606	NAT1	AAC1|MNAT|NAT-1|NATI	8	1	N-acetyltransferase
10	9606	NAT2	AAC2|NAT-2|PNAT	8	2	N-acetyltransferase
11	9606	NATP	AACP|NATP1	8	pseudogene	N-acetyltransferase
12	9606	SERPINA3	AACT|ACT|GIG24|GIG25	14	peptidase	serpin
13	9606	AADAC	CES5A1|DAC	3	deacetylase	arylacetamide
14	9606	AAMP	-	2	migratory	angio-associated,
15	9606	AANAT	DSPS|SNAT	17	N-acetyltransferase	aralkylamine
16	9606	AARS	CMT2N|EIEE29	16	synthetase	alanyl-tRNA
17	9606	AAVS1	AAV	19	virus	adeno-associated
18	9606	ABAT	GABA-AT|GABAT|NPD009	16	aminotransferase	4-aminobutyrate
19	9606	ABCA1	ABC-1|ABC1|CERP|HDLDT1|TGD	9	cassette,	ATP-binding
20	9606	ABCA2	ABC2	9	cassette,	ATP-binding
21	9606	ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3	16	cassette,	ATP-binding
22	9606	ABCB7	ABC7|ASAT|Atm1p|EST140535	X	cassette,	ATP-binding
23	9606	ABCF1	ABC27|ABC50	6	cassette,	ATP-binding
24	9606	ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	1	cassette,	ATP-binding
25	9606	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9	proto-oncogene	ABL
26	9606	AOC1	ABP|ABP1|DAO|DAO1|KAO	7	oxidase,	amine
27	9606	ABL2	ABLL|ARG	1	proto-oncogene	ABL
28	9606	ABO	A3GALNT|A3GALT1|GTB|NAGAT	9	blood	ABO
29	9606	ABR	MDB	17	BCR-related	active
30	9606	ACAA1	ACAA|PTHIO|THIO	3	acyltransferase	acetyl-CoA
31	9606	ACACA	ACAC|ACACAD|ACC|ACC1|ACCA	17	carboxylase	acetyl-CoA
32	9606	ACACB	ACC2|ACCB|HACC275	12	carboxylase	acetyl-CoA
33	9606	ACADL	ACAD4|LCAD	2	dehydrogenase,	acyl-CoA
34	9606	ACADM	ACAD1|MCAD|MCADH	1	dehydrogenase,	acyl-CoA
35	9606	ACADS	ACAD3|SCAD	12	dehydrogenase,	acyl-CoA
36	9606	ACADSB	2-MEBCAD|ACAD7|SBCAD	10	dehydrogenase,	acyl-CoA
37	9606	ACADVL	ACAD6|LCACD|VLCAD	17	dehydrogenase,	acyl-CoA
38	9606	ACAT1	ACAT|MAT|T2|THIL	11	acetyltransferase	acetyl-CoA
39	9606	ACAT2	-	6	acetyltransferase	acetyl-CoA
